ME-NEXUS_INFRA_ID,INFRA_NAME,INFRA_IS_ACTIVE,INFRA_DESCRIPTION,INFRA_PARENT_ORGANIZATION,INFRA_HAS_API,INFRA_RELEASE_DATE,INFRA_LATEST_VERSION,INFRA_LICENSE,INFRA_YEARLY_CORPORATE_PRICING,INFRA_FUNCTIONAL_TYPE,INFRA_STRUCTURAL_TYPE,INFRA_RELATED_SERVICES,INFRA_RELATED_CONTENT_TYPES
482ae3ec-3b5b-481e-8c7b-d3506fb8d314,Asana,True,"Asana is a work management platform designed for project tracking, team collaboration, and workflow automation.",Asana,True,2012.0,SaaS Tool,"Subscription, Free",$101 – $500,CommunicationAndTeamManagement,Cloud,Production Services,Promotional Content
019bdadd-d11d-4988-b220-94d456364ac7,ChatGPT,True,"ChatGPT is an AI-powered conversational assistant developed by OpenAI for text generation, analysis, and general knowledge queries.",OpenAI,True,2022.0,SaaS Tool,"Subscription, Free",$101 – $500,GenerativeAISoftware,Cloud,"Production Services, Creative Research, Concept Development",Scripted Content
2605a153-d77e-456c-96f4-490f1309d41d,Gaffer,True,"Gaffer is an open-source, node-based application for look development, lighting, and scene assembly in VFX.",Image Engine Design Inc.,True,2011.0,0.65.x,"Open-Source, Free",Free,3DDesignSoftware,Software,Lighting,Scripted Content
199653fe-0713-43bb-9dbc-94a6a2004cea,KeyShot,True,KeyShot is a real-time 3D rendering and animation software used for creating photorealistic product visualizations.,"Luxion, Inc.",True,2010.0,2026,Subscription,"$1,001 – $5,000",3DDesignSoftware,Software,Rendering,Promotional Content
dedc4692-6ab9-46a1-b935-8b1eee71c42c,MSI,True,"MSI (Micro-Star International) is a company that designs and manufactures computer hardware, including laptops, motherboards, and graphics cards.",MSI,False,1999.0,(Part of Windows 12),Free,$101 – $500,SoftwareDeveloperKit,Software,Design,Scripted Content
252d31c8-aac8-4e43-bfb0-78869646bd5b,Marvia,True,Marvia is a brand management and marketing asset distribution platform for managing and localizing marketing materials.,Marvia,True,2005.0,SaaS Tool,Subscription,"$501 – $1,000",ContentMarketingSoftware,Software,Managed Services,Promotional Content
33767fde-b5cd-4fbb-a210-2b18cc58961b,Pencil2D,True,Pencil2D is a free and open-source 2D animation software for creating traditional hand-drawn animations.,Pencil2D Team,True,2006.0,0.7.0,"Open-Source, Free",Free,VideoSoftware,Software,Animation,"Scripted Content, Promotional Content"
92f3ba03-d777-4cbe-8068-c89a1a335a96,Autodesk AutoCAD,True,"Autodesk AutoCAD is an industry-standard computer-aided design (CAD) software for 2D and 3D design, drafting, and documentation.","Autodesk, Inc.",True,1982.0,2026,Subscription,"$1,001 – $5,000",CADSoftware,Software,Design,Scripted Content
9650c947-c0f4-4471-a45c-3360d9c06bae,Autodesk Shotgun,True,"Autodesk Flow Production Tracking is a production management and review platform for creative teams in VFX, animation, and games.","Autodesk, Inc.",True,2006.0,SaaS Tool,Subscription,"$501 – $1,000",CommunicationAndTeamManagement,Cloud,Production Services,"Scripted Content, Video Game, Promotional Content, Unscripted, Location-Based Content"
72056557-d50b-4425-9989-b4a19cbd8780,DaVinci Resolve,True,"DaVinci Resolve is an all-in-one software for professional video editing, color correction, visual effects, and audio post-production.",Blackmagic Design Pty. Ltd.,True,2004.0,20,"Consumption, Free",$101 – $500,VideoSoftware,Software,"Production Services, Editorial","Scripted Content, Promotional Content, Social, Unscripted"
144f0d54-e3ef-48e7-b50e-55ea0f2d6934,FilmPack,True,DxO FilmPack is a photo editing software that provides analog film emulation and vintage photo effects for digital images.,DxO Labs,False,2007.0,8,Permanent,$101 – $500,PhotographySoftware,Software,Production Services,"Scripted Content, Promotional Content"
0268573a-4349-49ea-93e6-8b313cd5443d,IES Virtual Environment,True,IES Virtual Environment (IESVE) is a building performance simulation and energy modeling software for sustainable design.,Integrated Environmental Solutions (IES) Ltd.,True,1994.0,VE 2025,Subscription,"$1,001 – $5,000",CADSoftware,Software,Design,Scripted Content
eccd2b37-779e-4ac4-beb3-57d3d54cef69,Linguix,True,Linguix is an AI-powered writing assistant and grammar checker designed to improve written communication and style.,Linguix,True,2018.0,SaaS Tool,"Subscription, Free",≤ $100,EditorialSoftware,Software,Production Services,Promotional Content
90150840-17cd-4dcf-8221-276f06510490,Marvelous Designer,True,Marvelous Designer is a 3D clothing design software used for creating realistic virtual garments for fashion and character creation.,CLO Virtual Fashion LLC.,True,2011.0,2025,Subscription,"$501 – $1,000","3DDesignSoftware, ApparelSoftware",Software,"3D Asset Creation, Concept Development, Production Services","Scripted Content, Video Game, Promotional Content, Social, Unscripted, Location-Based Content"
1357797b-3c99-4fe6-a786-09e45d8ea341,Massive,True,Massive is an AI-driven crowd simulation software used to create realistic crowd scenes for film and games.,Massive Limited,True,1996.0,11,Subscription,"$5,001 – $10,000",3DDesignSoftware,Software,"Animation, FX-Simulation","Scripted Content, Video Game, Promotional Content, Unscripted"
3e827342-36ba-4deb-97a9-07ca5349ca15,MechDesigner,True,MechDesigner is a specialized software for mechanism and machine design in the field of mechanical engineering.,PSMotion,False,1999.0,16,Permanent,"$5,001 – $10,000",CADSoftware,Software,Design,Promotional Content
1ce4ac4b-9062-4843-a63e-1910170baf38,Nero,True,"Nero is a multimedia software suite for burning discs, managing media, and performing backup and recovery tasks.",Nero AG,True,1997.0,Nero 2026,Permanent,$101 – $500,VideoSoftware,Software,Production Services,Promotional Content
225a4746-022f-4566-83e0-bd5ce38d1bd1,PastePal,True,PastePal is a clipboard manager application for macOS and iOS that stores and organizes copied items.,Paste,True,2021.0,3.5,Permanent,≤ $100,DataManagement,Software,,Scripted Content
b9fbfc04-cbb2-4d08-963a-4c20fffaf45b,Steam Audio,True,3D spatial audio SDK for games and VR applications,Valve Corporation,True,2017.0,4.5.x,"Open-Source, Free",Free,Audio Software,Software,Sound Design,Scripted Content
f7b55d52-1665-49ed-8a3c-5426a0efc638,TestFit,True,AI-powered site planning and feasibility software for real estate development,TestFit Inc.,True,2017.0,SaaS Tool,Subscription,"$1,001 – $5,000",CADSoftware,Software,Design,Scripted Content
aff2ade9-0ebe-4781-8e1d-523017e0ea35,Box,True,Box.com is a cloud content management and collaboration platform that provides secure file sharing and storage for businesses.,Box Inc.,True,2005.0,SaaS Tool,"Subscription, Free",$101 – $500,"CloudPlatform, CommunicationAndTeamManagement",Cloud,Production Services,"Scripted Content, Video Game, Promotional Content, Social, Unscripted, Location-Based Content"
8fbe5dcb-5557-4c0b-bfcd-28fba0bcf468,Filmtrack,True,FilmTrack is a rights management and production management software for tracking film and television projects.,"FilmTrack, Inc",True,1996.0,SaaS Tool,Subscription,"$10,001+",DataManagement,Software,Production Services,"Scripted Content, Promotional Content"
